netName,util,cp,N,totPins,avgPins,bboxArea,bboxAr,bboxX,bboxY,bboxPerim,numPins,numVias
clk,60,1600,11087,43133,3.890,967.303,0.191,13.580,71.230,169.620,7,18
rst,60,1600,11087,43133,3.890,1.600,0.400,0.800,2.000,5.600,4,3
done,60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[127]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[126]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[125]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[124]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[123]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[122]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[121]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[120]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[119]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[118]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[117]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[116]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[115]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[114]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[113]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[112]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[111]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[110]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[109]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[108]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[107]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[106]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
{key[105]},60,1600,11087,43133,3.890,0.000,0.000,0.000,0.000,0.000,2,0
