netName,util,cp,N,totPins,avgPins,bboxArea,bboxAr,bboxX,bboxY,bboxPerim,numPins,numVias
clk,60,1600,11195,43337,3.871,1779.856,0.368,25.580,69.580,190.320,7,20
rst,60,1600,11195,43337,3.871,1.600,0.625,1.000,1.600,5.200,4,3
done,60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[127]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[126]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[125]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[124]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[123]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[122]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[121]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[120]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[119]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[118]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[117]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[116]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[115]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[114]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[113]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[112]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[111]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[110]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[109]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[108]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[107]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[106]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[105]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[104]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
{key[103]},60,1600,11195,43337,3.871,0.000,0.000,0.000,0.000,0.000,2,0
